F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
425.52,49.74,Rest,-32.46,2075.61,4.26,-33129.33,9.9,1274.56,5.91,Medium,15.4,-55.68,-183.94,1998.4,-78.3,-13226.42,-18596.46,-28.47,0.09,3267.81,-9.32,1,3686.63,24566.67,159.94,735.06,962.22,258.18,-5286.12,3.94,-50.89,104.84,-184.09,559.49,4,690.58
208.2,6.24,Europe,-25.6,2211.06,-4.56,-38257.92,-49.28,1303.08,10.97,Low,-3.48,-63.54,-197.38,2020.72,-82.08,-21757.22,-21766,-2.55,0.06,1480.2,-9.34,2,1863.15,34341.27,173.53,710.74,925.32,226.32,-7075.5,2.65,-2.56,223.74,-171.79,676.58,1,472.47
175,74.28,Europe,-23.76,1894.56,30.96,-30847.77,168.1,711.1,9.56,Medium,23.4,-60.9,-155.34,2451.92,-67.2,-22874.82,-26347.18,2.01,0.18,1260.3,-8.76,2,9779.37,25875.81,238.89,1373.56,2355.32,402.6,-5747.97,1.19,3.06,100.16,-142.66,573.81,4,191.04
131.92,-61.98,USA,-15.54,2327.55,-37.14,-20524.8,152.68,1096.73,12.96,High,18.62,-57.21,-198.86,1377.52,-69.72,-11392.92,-21167.32,-7.71,6.75,2612.76,-11.25,5,-178.94,12782.28,145.62,1363.92,2355.36,385.56,-6081.6,2.97,1.48,130.76,-128.86,620.6,5,651.88
168.22,43.6,USA,-12.88,2506.62,-58.76,-38742.84,213.64,845.52,0.59,Very low,16.46,-68.4,-168.21,1069.36,-61.86,-30579.2,-11226.38,11.64,0.03,1155.78,-10.33,3,3939.65,33268.83,233.8,661.06,1338.6,617.07,-5714.1,5.97,-37.41,180,-175.57,445.94,6,-214.85
226.04,-32.58,UK,-24.12,2391.09,-87.96,-34718.55,74.72,740.5,14.26,Medium,7.06,-52.83,-141.9,794.98,-50.37,-16364.14,-15957.48,-10.05,0.45,2717.97,-10.43,3,8197.36,11766.81,252.54,1549.06,1518.82,385.68,-4371.36,6.05,-89.52,103.96,-157.21,956.39,4,1487.59
145.36,85.52,USA,-15.06,3658.14,-29.56,-24281.61,95.7,470.17,9.28,High,10.62,-53.07,-250.57,1454.84,-48.9,-16029.34,-13553.92,-1.11,12.84,397.38,-10.96,8,3888.64,38522.73,242.38,1640.04,1644.16,300.99,-6253.62,3.35,-5.95,159.4,-145.85,349.06,6,387.4
138.02,19.76,Rest,-25.06,1001.61,-55.62,-24831.81,61.38,922.19,3.38,Medium,6.38,-65.97,-55.21,1148.46,-66.09,-10002.92,-26235.92,9,49.53,3324.99,-10.64,3,6252.18,22728.21,235.88,1249.1,1652.18,168.78,-6106.5,2.15,-54.34,150.76,-176.09,774.41,5,2152.67
202.72,95.38,UK,-16.76,2931.81,-5.5,-26981.25,51.58,757.6,7.21,Low,15.42,-56.25,-181.29,2269.42,-70.26,-23075.72,-20152.78,-6.66,1.5,1725.63,-10.78,3,9647.7,32359.86,286.17,602.42,1950.16,199.95,-6660.03,3.96,2.31,132.64,-203.6,617.25,3,583.04
173.28,55.72,Europe,-25.2,825.51,-3.1,-29829.87,106.74,562.43,-4.4,Very low,18.14,-61.41,-181.07,913.74,-67.32,-18243.36,-22418.64,7.77,18.9,2706.48,-12.93,8,5643.23,37103.76,249.87,381.1,1967.72,385.5,-2217.45,0.78,-85.15,151.26,-182.44,295.93,1,2713.1
226.32,3.1,USA,-27.26,5455.26,24.34,-28985.79,116.08,400.27,4.13,Low,23.74,-56.37,-188.67,1933.94,-72.96,-12161.84,-18399.64,5.49,6.96,3832.77,-11.63,5,5806.27,24038.52,229.39,662.12,1453.58,506.82,-4949.37,5.18,-6.8,187.1,-179.17,507.29,1,629.88
222.56,-38.02,USA,-32.62,1906.23,-178.56,-29678.13,123.74,966.38,7.08,Very low,14.2,-67.86,-226.86,-129.26,-82.32,-19797.72,-12742.4,-12.57,2.67,2141.31,-9.44,4,8931.65,17372.07,203.32,801.66,406.2,452.49,-6407.01,9.35,-36.41,140.96,-124.97,755.56,5,264.18
187,52.86,Europe,-23.46,3067.44,10.8,-14503.71,94.92,1192.23,12.17,Very high,10,-59.04,-37.86,1743.46,-70.62,-19592.8,-25599.8,-10.95,11.13,962.28,-8.89,4,3565.03,28993.38,147.86,1971.82,1291.32,198.18,-5705.88,1.84,-107.93,151.12,-160.77,-69.82,6,2918.75
198.28,75.28,UK,-7.04,2222.43,17.38,-12962.31,142,639.36,8.79,Low,18.06,-65.76,-163.33,1256.8,-67.92,-19079.92,-20720.12,9.57,1.71,3754.44,-11.16,2,6685.88,22688.1,307.69,1990.14,2096.6,458.82,-6051.45,12.72,16.31,154.02,-256.52,214.32,8,-377.46
252.98,87.66,Rest,-23.12,1675.44,-28.36,-20526.39,32.56,701.1,14.31,High,15.62,-57.06,-190.76,1860.16,-72.45,-23992.98,-12105.18,-1.44,0.75,2269.68,-12.53,3,8309.76,36859.05,200.03,-259.02,1664.6,273.15,-5834.01,7.97,-44.15,208.04,-166,811.41,5,185.34
211.28,83.98,UK,-19.2,2997.06,-117.14,-19051.62,-7.58,1164.02,12.36,Very high,10.24,-55.32,-112.81,1822.7,-86.22,-16395.58,-23747.76,-4.95,3.9,1610.52,-12.24,4,6808.44,25044.51,232.39,357.34,1751.8,338.85,-6453.09,8.05,-31.1,228.36,-190.6,1433.8,2,2076.29
247.78,59.9,Rest,-9.34,2855.91,30.12,-7891.59,89.68,1018.28,12.8,Very high,17.18,-83.1,-193.04,1276.42,-70.62,-6014.1,-14991.58,-1.26,8.22,3661.44,-11.22,7,3719.44,39491.82,217.38,143.88,363.2,287.85,-6081.39,1.4,8.35,161.06,-170.87,741.87,6,-1141.74
167.46,381.46,Europe,-16.74,5248.77,31.56,-31535.67,118.64,662.72,8.72,Very low,19.08,-51.18,-236.45,2178.28,-57.51,-18135.48,-25322.7,12.18,0.96,2411.67,-8.61,3,1030.33,29993.55,215.18,1685.64,2298.36,278.76,-8297.91,0.53,-44.84,219.38,-168.56,-79.06,7,22.12
146.7,-12.6,Europe,-24.52,1810.65,8.66,-29666.04,62.58,388.86,9.23,Low,10.24,-56.4,-226.51,1810.52,-67.38,-20152.8,-23648.62,-12.93,27.66,3042.24,-8.77,1,5496.76,17654.04,219.31,477.42,1645.96,272.97,-3352.05,2.69,75.2,228.84,-179.23,1017.05,5,2668.12
253.14,44.1,USA,-28.54,889.11,-77.4,-27663.39,110.38,943.8,11.35,High,15.92,-56.64,-66.41,2371.7,-65.88,-6738.54,-15056.48,0.93,3.81,1561.38,-2.33,4,4265.21,34123.02,262.97,1254.82,2422.48,292.83,-4653.24,5.46,19.48,187.68,-180,246.74,1,617.96
229.02,86.72,Rest,-16.98,944.28,-26.12,-31379.55,101.3,1145.26,8.51,Very low,14.3,-56.1,-184.46,559.2,-65.91,-16729.32,-32824.6,7.14,12.72,607.29,-12.95,5,3293.89,21777.06,386.75,-213.86,1041.74,258.06,-6040.08,3.29,-35.95,246.78,-157.84,874.4,2,2898.19
120.34,83.54,Europe,-19.74,1248.9,-87.8,-14043.09,60.34,1000.06,2.31,Very high,12.2,-59.67,-193.3,2411.4,-68.04,-12219.98,-27550.84,12.15,0.06,2694.48,-4.94,4,2687.76,20911.62,196.13,972.98,1523.88,325.59,-5120.4,7.01,-45.74,123.56,-175.93,535.09,1,2299.39
170.06,-31.88,Europe,-11.46,-378.9,-6.9,-24440.82,81.2,809.67,14.61,Very high,-3.56,-56.73,-178.95,1394.1,-60.99,-25505.9,-23056.02,-11.22,0.33,1431.33,-16.97,2,6789.72,29650.65,256.55,1298.78,1531.62,366.27,-3699.63,9.76,2.03,292.3,-155.3,868.35,6,2449.37
222.86,73.92,Europe,-14.62,1902.87,81.82,-12546.66,203.48,1325.43,11.38,Very high,14.08,-60.57,-153.09,703.62,-92.1,-15397.24,-7031.26,0.6,3.48,2047.11,-12.69,4,6238.8,34731.72,254.56,1094.9,2118.56,354.48,-6607.77,5.53,-194.11,108.7,-100.47,148.33,7,1073.08
211.16,118.82,UK,-19.86,2450.79,33.86,-34355.7,88.9,662.84,7.89,Low,18.46,-52.05,-305.59,3314.76,-71.07,-19056.86,-23359.06,15.33,1.17,1087.98,-10.6,6,-1962.11,29696.88,220.67,939.94,1233.44,274.44,-5787.27,1.18,-12.58,158.06,-208.59,969.02,2,248.31
120.4,113.94,UK,-21.6,1860.09,32.06,-46595.46,28.54,1097.32,10.96,Medium,33.2,-55.14,-198.19,1083.8,-87.33,-14535.04,-3277.56,21.9,3.09,2093.52,-9.12,6,544.47,22091.31,251.71,1421.84,1097.44,240.81,-3186.51,4.49,-56.94,215.5,-188.35,551.2,4,694.79
223.72,49.3,USA,-17.68,4169.49,111.18,-18479.22,33.28,530,7.66,Very low,19.62,-61.29,-115.12,2591.48,-71.97,-14726.16,-13622.36,-11.85,12.48,2735.01,-15.46,3,895.92,28924.2,157.65,792.68,1543.72,337.68,-5401.47,3.65,-42.55,200.66,-124.02,713.86,4,-44.75
144.8,-84.62,Europe,-20.74,2462.82,348,-25485.48,105.66,1450.36,11.21,Very high,13.98,-54.12,-284.3,1327.02,-67.8,-22390.12,-7457.14,-2.43,304.41,357.69,-9.13,8,5432.98,32325.48,234.88,-207.98,1725.5,252.33,-4963.2,4.3,-42.78,90.5,-190.2,-6.23,8,1432.82
221.76,24.46,USA,-19.88,2003.97,30.28,-28251.33,6.7,809.21,4.31,Very high,27.78,-66.6,-214.76,2314.76,-69.18,-30267.38,-28371.62,-24.06,1.47,2855.73,-17.52,5,3932.05,32515.86,213.28,1236.02,1747.98,442.02,-5851.95,1.17,-99.9,253.5,-162.03,1403.83,5,211.01
325.62,-41.84,UK,-15.08,1718.88,118.06,-28714.17,17.32,1022.83,7.01,High,4.34,-102.18,-186.41,1060.62,-61.2,-9466.94,-20733.82,9.93,33.9,1008.9,-9.57,7,7907.02,26896.14,212.55,1052.44,2590.38,390.12,-7165.68,0.41,29.95,257.46,-190.55,209.36,3,-900.33
156.24,130.12,Europe,-14.68,3025.68,96.22,-15422.52,7.44,359.41,-6.4,Low,16.72,-58.59,-75.44,2460.06,-71.52,-14498.12,-24242.1,-5.46,0,3113.73,-18.87,2,-787.12,27778.02,219.41,-424.56,1874.9,399.66,-6374.97,9.12,-34.25,171.3,-163.72,703.27,2,-114.53
182.78,-18.14,USA,-21.92,4572.78,-192.7,-34713.03,52.94,631.48,5.12,Very low,9.38,-54.81,-164.5,2050.96,-66.3,-14581.26,-24983.54,-1.11,0.3,2668.59,-8.37,4,2044.44,37884.03,229.56,674.32,1209.24,522.75,-5044.68,2.3,-68.79,222.54,-150.37,475.31,5,73.19
208.28,9.7,Europe,-21.74,2099.97,-12.66,-17010.66,47.96,324.77,3.62,High,14.4,-58.92,-164.61,1687.94,-76.38,-14594.2,-24178.9,4.02,1.65,2299.35,-3.69,3,4993.36,39111,311.23,1157.22,2433.7,128.94,-4471.5,2.48,-66.72,173.38,-215.26,250.61,7,773.52
194.7,11.96,UK,-16.84,2818.23,-40.8,-26746.14,61.54,1001.63,7.35,High,24.5,-55.5,-79.63,2060.66,-68.07,-22106.48,-17541.86,-11.31,1.71,2643.96,-14.69,3,6761.13,27289.53,225.61,752.92,2067.24,253.05,-6163.05,2.07,-93.45,183.92,-198.73,364.76,5,796.14
167.06,-31.24,Europe,-25.16,2034.42,-139.72,-25203.57,62.34,1023.54,5.75,Very low,24.38,-86.94,-188.03,1894.92,-56.82,-17438.6,-15449.26,-7.8,0.3,3106.02,-13.25,7,3950.27,17375.46,229.82,1169.24,1977.2,413.28,-8004.57,2.99,-87.86,292.06,-196.03,390.49,4,-162.1
161.56,-180.9,Europe,-12.7,2718.9,7.14,-20933.91,62.12,823.45,15.34,High,17.94,-68.61,-183.66,1623.58,-44.13,-21066.76,-31155.74,-2.91,0.69,3537.69,-9.74,5,6435.49,43142.4,274.69,204.1,1686.78,241.68,-5220.06,4.5,-56.79,166.68,-171.7,734.3,7,38.3
237.68,35.4,UK,1.92,1139.94,-37.26,-24130.95,126.82,955.24,4.78,Very high,27.36,-68.79,-40.57,2020.18,-81,-15858.7,-22299.42,-0.6,0,1082.46,-14.68,7,3325.14,28541.13,253.37,149.94,2451.48,350.28,-5982.66,3.73,-30.51,250.76,-167.51,272.78,2,-267.58
229.08,-22.26,Rest,-27.08,2339.07,6.26,-36888.36,129.82,700.86,14,Very low,25.46,-63.36,-251.68,2607.54,-68.94,-14923.26,-27600.88,-1.29,18.24,3216.21,-12.76,2,625.92,29178.27,195.97,1768.38,2331.76,394.77,-6383.19,7.1,-17.56,178,-111.24,931.03,7,-1151.57
329.92,55.46,UK,-25.4,3490.47,56.28,-23528.91,185.02,490.54,8.13,Very low,14.52,-76.89,-195.92,2881.18,-64.53,-10300.76,-23085.74,-6.24,3.33,394.62,-12,3,1054.72,25243.35,356.07,950.5,2082.74,156.54,-5720.31,5.5,-7.52,103.62,-185.39,614.59,6,-1798.54
233.62,75.22,Rest,-28.6,2080.17,-58.56,-12518.19,85.38,597.33,14.72,Very high,14.46,-57.75,-189.49,2338.92,-70.5,-15341.88,-18739.36,-3.33,1.68,591.27,-12.11,2,4903.37,26483.82,211.28,2225.4,572.88,393.36,-3620.04,6.29,17.68,74.96,-132.55,602.04,4,1785.03
204.38,-14.04,USA,-21.64,2775.33,-3.56,-5492.22,131.16,480.58,11.2,Medium,46.72,-76.32,-153.09,497.3,-48.93,-6485.86,-11560.56,0.12,0.03,2385,-11.29,3,7531.41,26740.35,303.01,884.18,2883.88,290.43,-4916.31,2.92,-73.27,168.76,-124.19,740.78,3,-50.21
207.8,-200.44,Rest,-19.78,880.8,-1.64,-19913.58,102.42,790.98,8.45,Very high,13.26,-54.12,-210.04,1571.38,-64.71,-16998.28,-9562.66,-16.17,1.11,2880.9,-6.15,1,605.5,20189.19,194.03,1476.32,2276.62,312.66,-5460.96,9.33,-106.87,190.22,-8.26,986.37,9,-59.34
258.46,-57.28,Europe,-26.8,1051.77,18.38,-37658.19,34.78,769.09,5.51,Very high,30.7,-56.76,-211.57,1161.16,-69.12,-3574.52,-23359.78,-25.05,31.92,6575.73,-16.51,6,3491.55,21172.44,234.47,289.5,1593.6,275.25,-6452.55,3.45,81.2,258.06,-177.4,307.69,5,3623.28
163.04,-38.08,Rest,-21.46,1699.05,-39.02,-22828.86,37.78,1477.2,7.44,Very low,12.06,-83.28,-283.45,1434.52,-68.37,-19323.82,-21065.2,-2.91,20075.49,1984.71,-5.03,3,7265.98,25680.45,199.39,644.42,1861.16,267.12,-4117.89,1.48,-75.89,205.82,-150.99,441.52,6,-432.06
236.74,63.72,Europe,-17.48,2158.44,4.42,-18570.6,103.52,1358.49,2.36,Very high,2.66,-89.13,-208.9,2019.88,-37.44,-18782.16,-17976.78,-1.77,0.24,2042.61,-2.94,3,2380.17,6353.46,251.18,579.68,1646.46,369.99,-8007.99,2.46,-75.03,210.38,-154.47,442.29,2,-135.36
240.62,197.24,UK,-19.26,2469.99,-7.5,-25273.59,35.78,643.33,11.24,Very low,-2.96,-58.71,-212.75,1704,-86.82,-25868.92,-10840.08,18.66,0.36,1945.83,-11.87,5,3538.11,19639.5,200.01,476.22,1571.26,282.93,-3899.52,1.37,-23.74,141.66,-254.99,709.08,4,-388.68
186.34,37.7,USA,-22.82,2213.43,76.68,-34457.94,270.04,681.13,7.46,High,-1.96,-61.11,-151.94,1787.66,-69.51,-15767.5,-16575.38,-4.56,0.03,3794.91,-1.65,2,2341.95,32184.72,168.38,254.94,1421.3,365.73,-4214.94,6.89,-6.84,167.8,-147.65,543.04,4,121.1
159.9,-54.24,Rest,-29.18,4035.75,-5.86,-12976.89,58.22,-5.3,15.15,Low,22.72,-51.18,-272.76,1946.5,-68.1,-20622.52,-19669.9,1.35,251.7,3176.76,-14.67,7,2259.22,26555.46,271.9,732.74,1107.66,303.03,-5847.12,5.33,-51.46,168.48,-215.52,347.54,4,2051.99
118.54,-3.78,Rest,-14.94,3074.19,-15.72,-10759.47,50.62,453.07,11.26,Very high,15.9,-62.61,-247.81,1486.8,-82.98,-13948.72,-14441.88,-16.41,33.51,1151.52,-7.53,3,6440.04,26318.13,256.97,840.56,1645.22,404.49,-5662.26,3.38,-39.17,254.6,-258.05,546.68,6,1722.7
109.52,76.3,UK,-14.82,767.1,-129.82,-27511.56,121.3,822.72,9.01,Medium,-1.74,-61.68,-206.13,1210.36,-60.96,-23307.34,-14640.1,-10.05,196.17,1503.51,-14.42,7,2565,28738.44,221.37,-291.94,1758.52,238.83,-8148.99,5.95,52.18,244.02,-182.27,850.06,4,1112.12
215,-20.6,USA,-20.02,2668.08,94.94,-25373.16,81.7,789.35,6.08,Very low,14.42,-52.02,-197.95,1617.18,-32.16,-19711.36,-18510.6,-3.18,189.03,3309.81,-11,4,90.5,8867.73,152.51,603.34,2697.5,497.79,-6215.37,0.62,-168.39,126.98,-177.46,322,4,733.05
202.48,4.22,UK,-22.96,2979.75,25.22,-21503.43,-40.02,576.85,11.27,Very low,6.38,-54.69,-188.27,1393.92,-76.17,-24951.06,-33870.44,-9.09,2.73,2930.16,-14.25,6,1796.51,19200.39,247.89,397.32,1913.74,313.02,-2367.03,6.23,-33.8,227.4,-177.5,746.03,9,44.34
216,-101.02,UK,-10.26,950.61,-99.78,-20513.64,82.18,580.86,8.1,Very low,15.46,-74.43,-195.61,2274.82,-69.57,-17721.8,-24189.06,-6.63,2.82,2762.94,-17.35,4,5706.19,17382.6,244.82,-461.48,2433.02,321.84,-6594,0.2,-5.92,143.28,-161.93,960.73,2,-447.31
205.44,-9.04,Rest,-9.06,1591.11,-3.64,-23515.26,75.68,1117.18,14.92,Very high,14.3,-55.29,-198.22,1187.04,-70.53,-24272.46,-29368.26,6.93,3.69,2547.09,-1.77,6,6150.49,33738.72,230.53,748.5,356.72,311.58,-5583.27,6.27,-47.72,95.08,-141.7,280.15,4,2845.03
213.44,31.96,USA,-13.58,576.78,-26.42,-18634.11,84.68,302.83,14.95,Medium,15.56,-83.4,-219.49,2030.96,-72.33,-15783.68,-22233.78,-4.65,237.03,2081.91,-9.88,5,4553.93,14418.69,231.36,904.04,1274.38,286.38,-5146.17,1.23,-15.5,145.54,-260.33,620.05,2,148.28
208.1,199.68,Europe,-26.08,2099.76,-54.1,-34685.76,-31.74,990.31,18.05,Low,11.9,-57.18,-205.33,1177.16,-67.5,-18425.26,-19161.32,4.74,2.19,1870.65,-6.17,8,4603.03,27419.67,228.37,588.4,2103.5,338.97,-9315.3,4.82,-7.65,265.5,-101.58,733.95,0,2758.28
146.24,-20.8,Rest,-25.58,2237.88,59.58,-16575.03,7.78,837.79,4.81,High,3.14,-59.61,-199.94,789.02,-51.93,-21786.4,-16546.96,29.34,0.18,1478.4,-8.28,6,1973.1,13170.66,262.04,884.46,1475.06,205.59,-3550.05,2.95,-21.25,177.02,-161.14,730.21,5,808.56
167.4,31.92,Rest,-17.1,4303.08,25.86,-26596.56,-13.38,1132.01,9.8,High,20.76,-65.34,-353.59,2791.96,-86.61,-9824.92,-14974.18,2.1,7575.69,616.2,-10.56,3,-1234.56,21480.57,266.58,1335.5,1491.28,209.73,-6648.51,5.5,-71.06,289.2,-142.58,470.98,3,2051.63
77.6,70.54,USA,-11.78,1909.62,103.56,-8843.67,172.82,407.23,2.45,Very high,21.02,-51.72,-164.35,2447.92,-78.81,-4161.54,-12256.64,-15.54,214.47,2602.89,-16.41,3,5800.48,20939.85,211.36,318.14,1909.04,298.26,-5316.27,3.44,-49.65,165.3,-185.73,711.82,2,1355.22
258.44,-36.86,UK,-23.22,1906.17,26.56,-20058.18,47.64,754.89,7.57,Low,37.68,-62.7,-187.49,725.32,-81.48,-15384.54,-11808.2,-1.38,3.57,1218.87,-15.6,5,2909.13,19383.48,290.77,1047.98,1465.92,248.04,-5954.07,1.62,-31.1,183,-123.32,357.44,3,882.96
152.48,-182.84,UK,-17.12,2180.7,-27.62,-26002.32,90.7,693.89,11.55,Very low,10,-52.41,-135.93,2231.88,-75.48,-21663.52,-18894.96,-8.1,2.01,1977.45,-9.28,4,1766.42,28323.48,201.63,448.3,1980.74,325.86,-8032.14,1.04,19.77,125.08,-240.43,703.97,2,733.51
218.1,1.2,USA,-22.02,-564.36,16.6,-25749.39,-28.52,1334.75,6.44,Medium,26.16,-56.07,-194.05,1981.34,-60.18,-15937.66,-23416.5,8.85,104.91,1746.75,-9.67,8,7000.9,29198.1,242.41,533.5,2452.44,219.9,-4549.02,2.4,-143.84,177.32,-125.18,423.24,0,1125.56
216.66,-46.64,Rest,-21.74,2988.36,24.2,-23849.52,182.56,541.69,7.43,Very high,18.54,-63.54,-189.07,2538.06,-74.43,-10218,-17162.98,9.96,0.36,3252.51,-14.19,6,4586.78,25722.75,313.51,379.96,1220.46,405.39,-6036.18,3.79,-38.89,256.12,-173.96,1133.91,1,453.84
105.12,69.72,Rest,-15,3542.52,39.8,-9716.55,77.4,1104.87,9.04,High,14.72,-60.3,-171.75,1427.56,-69.69,-6988.08,-17478.18,5.94,9.84,2080.71,-6.47,3,2451.19,17008.86,239.11,1257.7,1747.46,272.19,-7896.09,3.35,36.85,98.8,-226.99,208.13,1,2751.82
300.94,-35.56,UK,-30.02,2301.54,-17.5,-23958.78,55.68,743.26,9.16,Very high,8.78,-56.4,-152.04,1794.02,-83.28,-13387.86,-20041.2,7.68,0.09,4083.9,-10.85,5,882.42,23758.32,233.68,847.82,2060.68,132.42,-3985.32,2.54,-38.27,121.4,-194.58,386.32,5,598.78
98.2,-65.7,USA,-10.38,5288.82,-54.62,-38039.82,73.46,680.31,12.9,Very low,-15.26,-57.9,-186.84,3076.1,-70.95,-18108.46,-23094.92,-0.15,37.56,1374.48,-10.87,4,5901.08,13977.9,241.96,1370.72,3433.28,372.06,-6225.36,8.08,-53.36,191.62,-172.5,604.24,4,-21.36
264.92,-19.82,USA,-29.14,2391.3,55,-28341.21,146.76,604.27,11.3,Very low,14.92,-70.83,-193.01,1759.42,-72.42,-2057.16,-17370.66,-11.19,4.41,731.19,-6.04,3,-241.34,38077.98,212.88,459.24,1507.68,425.55,-4607.16,2.8,-13.44,166.44,-126.71,466.27,2,73.19
246.58,-10.9,Rest,-27.2,3247.59,-81.04,-18594.72,57.14,383.81,9.2,Medium,19.16,-76.41,-222.29,1256.86,-88.92,-9177.9,-23626.88,-0.27,16.71,1870.62,-10.68,4,2234.7,29129.73,183.37,353.02,1772.4,340.2,-6155.97,1.19,-27.27,186.64,-182.82,747.66,4,332.23
173.16,26.46,UK,-21.56,-1921.53,145.28,-20001.51,113.48,738.46,7.89,Low,6.42,-50.97,-151.08,2087.82,-59.91,-12255.1,-9163.02,-36.15,0.12,731.76,-9.87,2,5510.82,25121.01,233.59,910.28,1695.9,204.21,-5455.29,3.42,34.22,121.62,-210.81,932.25,3,323.67
135.76,66.04,UK,-24.3,2470.11,-144.1,-21070.71,76.28,518.4,9.52,Very high,14.98,-53.94,-152.61,2119.3,-23.22,-12629.3,-11682.14,3.69,0.12,2029.29,-9.55,3,2587.72,31800.69,193.97,-5.7,2226.28,362.43,-3729.12,2.51,-47.37,182.38,-113.55,613.14,5,440.17
142.74,59.46,Rest,-9.04,2777.94,19.38,-43896.87,126.48,489.92,13.64,Medium,24.12,-62.19,-276.13,1279.68,-61.89,-22018.08,-30989.78,-11.07,10.5,1497.81,-8.91,3,-8.91,26550.09,253.32,841.4,2186.04,330.9,-6006.15,9.92,-67.55,167.46,-167.28,745.47,1,2817.45
166.68,-35.64,Rest,-19.34,2100.45,58.74,-32818.44,114.84,821.77,8.15,Very high,10.16,-55.62,-172.87,2653.44,-55.86,-12365.56,-15130.24,16.53,0.33,2248.26,-9.92,1,6196.9,29620.26,212.79,1054.66,1358.28,318.33,-6360.63,0.75,-23.97,125.86,-169.24,566.04,5,526.69
150.1,-20.46,Europe,-19.36,2869.83,35,-25712.07,49.48,774.49,7.66,High,19.28,-71.25,-201.01,1352.52,-72.54,-21511.92,-21500.88,-5.16,7.71,1219.38,-19.07,2,-475.98,19284.81,240.63,1812.5,1394.48,361.8,-7508.43,2.19,-58.82,140.84,-136.15,1019.82,2,3026.34
